Kod;Nazwa;Wyszczególnienie;Typy szkół;Rok;Wartosc;Jednostka miary;Atrybut
1140000000;MAZOWIECKIE;komputery w szkole;licea ogólnokształcące;2008;13967;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea ogólnokształcące;2009;13939;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea ogólnokształcące;2010;13713;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea ogólnokształcące;2011;13665;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;licea ogólnokształcące;2012;14136;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły policealne;2002;1648;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły policealne;2003;1594;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły policealne;2004;1975;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły policealne;2005;1852;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły policealne;2006;2616;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły policealne;2007;760;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły policealne;2008;827;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły policealne;2009;848;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły policealne;2010;951;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły policealne;2011;963;szt.; 
1140000000;MAZOWIECKIE;komputery w szkole;szkoły policealne;2012;1006;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2002;3405;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2003;4578;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2004;5500;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2005;5885;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2006;8477;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2007;8768;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2008;11311;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2009;12152;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2010;12802;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2011;13557;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły zawodowe bez policealnych;2012;14132;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2002;423;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2003;425;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2004;404;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2005;581;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2006;720;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2007;690;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2008;1093;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2009;979;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2010;1125;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2011;1264;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;zasadnicze szkoły zawodowe;2012;1224;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;technika;2002;2472;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;technika;2003;3410;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;technika;2004;3872;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;technika;2005;4061;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;technika;2006;6349;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;technika;2007;6686;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;technika;2008;8602;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;technika;2009;9961;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;technika;2010;10611;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;technika;2011;11354;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;technika;2012;12049;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea profilowane;2002;510;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea profilowane;2003;743;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea profilowane;2004;1224;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea profilowane;2005;1243;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea profilowane;2006;1408;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea profilowane;2007;1392;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea profilowane;2008;1616;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea profilowane;2009;1212;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea profilowane;2010;1066;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea profilowane;2011;939;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea profilowane;2012;859;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2002;-;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2003;-;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2004;-;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2005;-;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2006;10128;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2007;11784;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2008;13135;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2009;13303;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2010;13027;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2011;12938;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;licea ogólnokształcące;2012;13610;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły policealne;2002;1105;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły policealne;2003;1170;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły policealne;2004;1532;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły policealne;2005;1449;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły policealne;2006;2181;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły policealne;2007;686;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły policealne;2008;696;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły policealne;2009;749;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły policealne;2010;871;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły policealne;2011;891;szt.; 
1140000000;MAZOWIECKIE;komputery z dostępem do Internetu;szkoły policealne;2012;942;szt.; 
2120000000;MAŁOPOLSKIE;komputery w szkole;szkoły zawodowe bez policealnych;2002;4432;szt.; 
2120000000;MAŁOPOLSKIE;komputery w szkole;szkoły zawodowe bez policealnych;2003;5248;szt.; 
2120000000;MAŁOPOLSKIE;komputery w szkole;szkoły zawodowe bez policealnych;2004;5740;szt.; 
2120000000;MAŁOPOLSKIE;komputery w szkole;szkoły zawodowe bez policealnych;2005;6066;szt.; 
2120000000;MAŁOPOLSKIE;komputery w szkole;szkoły zawodowe bez policealnych;2006;8531;szt.; 
2120000000;MAŁOPOLSKIE;komputery w szkole;szkoły zawodowe bez policealnych;2007;8365;szt.; 
2120000000;MAŁOPOLSKIE;komputery w szkole;szkoły zawodowe bez policealnych;2008;9737;szt.; 
2120000000;MAŁOPOLSKIE;komputery w szkole;szkoły zawodowe bez policealnych;2009;9921;szt.; 
2120000000;MAŁOPOLSKIE;komputery w szkole;szkoły zawodowe bez policealnych;2010;10454;szt.; 
2120000000;MAŁOPOLSKIE;komputery w szkole;szkoły zawodowe bez policealnych;2011;11312;szt.; 
2120000000;MAŁOPOLSKIE;komputery w szkole;szkoły zawodowe bez policealnych;2012;11874;szt.; 
2120000000;MAŁOPOLSKIE;komputery w szkole;zasadnicze szkoły zawodowe;2002;436;szt.; 
2120000000;MAŁOPOLSKIE;komputery w szkole;zasadnicze szkoły zawodowe;2003;360;szt.; 
2120000000;MAŁOPOLSKIE;komputery w szkole;zasadnicze szkoły zawodowe;2004;296;szt.; 
2120000000;MAŁOPOLSKIE;komputery w szkole;zasadnicze szkoły zawodowe;2005;365;szt.; 
2120000000;MAŁOPOLSKIE;komputery w szkole;zasadnicze szkoły zawodowe;2006;514;szt.; 
2120000000;MAŁOPOLSKIE;komputery w szkole;zasadnicze szkoły zawodowe;2007;888;szt.; 
2120000000;MAŁOPOLSKIE;komputery w szkole;zasadnicze szkoły zawodowe;2008;668;szt.; 
